event_id,flow_id,transaction_id,transaction_lifecycle_event,created_at,error_details_source,error_details_message,error_details_decline_type,error_details_decision_type,error_details_decline_reason,error_details_decline_reason_v2
05d2473f-0ffc-406b-be48-1f6d8117ca61,eb70d10e-c747-47b0-a5aa-91ebb0ca70b0,bb289cce-26f5-4181-8d42-261097844c65,,"2021-06-03 07:47:50.485389",,,,,,
79f05534-1e86-45d0-9771-5d8e327e9f76,eda3ef29-9946-4248-b007-c7633835bb5e,6e31f605-9cf9-4142-a2e2-26b4c2b2cada,,"2021-06-03 07:47:50.489866",,,,,,
62c488e9-8db3-479f-bcb2-43b0a479502a,ad31c3b7-6102-4b2e-9465-66d2587c935b,f882b460-1ae9-460c-a4d5-9e24ec9bc99e,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.491917",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
509e3714-8615-4b72-88f1-e776675651f5,eb70d10e-c747-47b0-a5aa-91ebb0ca70b0,bb289cce-26f5-4181-8d42-261097844c65,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.492106",,,,,,
6c17f2da-53f4-46da-be5a-5934e5772172,eda3ef29-9946-4248-b007-c7633835bb5e,6e31f605-9cf9-4142-a2e2-26b4c2b2cada,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.498228",,,,,,
44136e65-df06-47aa-848e-bd3a71867e92,eb70d10e-c747-47b0-a5aa-91ebb0ca70b0,bb289cce-26f5-4181-8d42-261097844c65,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.505998",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
9409c8ee-897e-49e9-a309-3098d4215e21,eda3ef29-9946-4248-b007-c7633835bb5e,6e31f605-9cf9-4142-a2e2-26b4c2b2cada,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.512198",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
04fbd334-ff03-46a2-81b1-66ddbda847da,326970f1-8fe1-401d-8f30-336d7960217e,17836faa-8758-4eb9-ad0b-511a2e2c1f5b,,"2021-06-03 07:47:50.549376",,,,,,
cf25293b-45e0-4973-97f4-dd48dabb116a,a3c89fe3-397f-4e66-8684-d87b1ada4e76,157d7ee3-27d0-458c-8059-95030c47d3f4,,"2021-06-03 07:47:50.553439",,,,,,
a995e2a1-2cdf-4cde-b26f-d8c7c9d67233,ecbffb89-a501-4971-a114-46e228a9bf88,01d3ae29-18bb-4ee1-8b06-3213ec4270a6,,"2021-06-03 07:47:50.559992",,,,,,
